"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/1992","2,755.25","2,796.53","2,805.99","2,752.94","","-2.66%"
"07/28/1992","2,830.57","2,858.25","2,872.71","2,822.24","","0.94%"
"07/27/1992","2,804.15","2,740.74","2,807.41","2,737.65","","4.70%"
"07/23/1992","2,678.34","2,784.04","2,784.04","2,677.07","","-4.96%"
"07/22/1992","2,818.12","2,857.01","2,881.94","2,814.26","","-1.83%"
"07/21/1992","2,870.59","2,839.17","2,870.59","2,837.07","","0.53%"
"07/20/1992","2,855.43","2,794.95","2,864.05","2,794.42","","1.75%"
"07/17/1992","2,806.31","2,795.31","2,807.96","2,761.45","","-0.12%"
"07/16/1992","2,809.69","2,890.75","2,891.81","2,797.92","","-3.54%"
"07/15/1992","2,912.92","2,972.96","2,972.96","2,912.92","","-5.44%"
"06/26/1992","3,080.54","3,080.54","3,080.54","3,080.54","","-0.03%"
"06/25/1992","3,081.32","3,097.48","3,102.44","3,081.32","","-1.89%"
"06/10/1992","3,140.80","3,139.94","3,193.17","3,139.46","","-0.43%"
"06/09/1992","3,154.23","3,127.57","3,198.77","3,127.57","","1.73%"
"06/08/1992","3,100.66","3,063.22","3,113.66","3,063.22","","0.45%"
"06/05/1992","3,086.74","2,983.22","3,086.99","2,983.22","","2.72%"
"06/04/1992","3,004.92","3,016.83","3,018.64","2,993.68","","-3.12%"
"06/03/1992","3,101.66","3,120.37","3,192.45","3,092.45","","-1.03%"
"06/02/1992","3,133.83","3,014.07","3,147.20","3,014.07","","4.42%"
"06/01/1992","3,001.24","2,958.39","3,003.83","2,928.10","","-0.16%"
"05/29/1992","3,006.08","3,050.19","3,070.60","2,987.69","","-2.16%"
"05/28/1992","3,072.48","3,002.42","3,072.43","2,963.49","","-2.30%"
"05/27/1992","3,144.79","3,307.02","3,307.02","3,111.07","","-4.67%"
"05/26/1992","3,298.74","3,349.11","3,352.43","3,271.13","","-3.16%"
"05/25/1992","3,406.29","3,432.43","3,432.43","3,399.92","","-0.84%"
"05/22/1992","3,435.07","3,378.88","3,442.65","3,376.12","","-3.49%"
"05/20/1992","3,559.28","3,499.27","3,562.36","3,495.29","","-0.26%"
"05/19/1992","3,568.67","3,490.91","3,574.92","3,481.82","","3.26%"
"05/18/1992","3,456.16","3,475.12","3,527.21","3,454.13","","1.82%"
"05/14/1992","3,394.48","3,407.85","3,407.85","3,335.48","","-1.07%"
"05/13/1992","3,431.13","3,283.16","3,493.47","3,283.16","","11.17%"
"05/12/1992","3,086.37","3,273.82","3,307.71","3,080.43","","-9.76%"
"05/11/1992","3,420.05","3,556.94","3,566.07","3,407.54","","-6.50%"
"05/07/1992","3,658.00","3,651.01","3,710.86","3,651.01","","2.73%"
"05/06/1992","3,560.72","3,531.21","3,579.87","3,460.60","","-8.41%"
"04/30/1992","3,887.72","3,637.17","3,887.72","3,636.02","","5.81%"
"04/29/1992","3,674.41","3,727.18","3,750.07","3,611.11","","-5.71%"
"04/28/1992","3,896.90","4,109.84","4,112.78","3,896.90","","-12.77%"
"04/22/1992","4,467.32","4,467.32","4,467.32","4,467.32","","7.31%"
"04/13/1992","4,163.02","4,266.68","4,307.21","4,163.02","","-3.33%"
"04/10/1992","4,306.43","4,328.63","4,338.75","4,266.26","","-0.63%"
"04/08/1992","4,333.57","4,062.31","4,341.27","4,062.31","","7.72%"
"04/07/1992","4,023.11","3,988.28","4,023.11","3,930.64","","-0.97%"
"04/06/1992","4,062.57","4,150.74","4,150.74","4,062.57","","-4.15%"
"04/03/1992","4,238.25","4,120.45","4,241.07","4,026.77","","-3.41%"
"04/02/1992","4,387.86","4,546.58","4,546.58","4,387.86","","2.40%"
"03/31/1992","4,285.00","4,172.21","4,318.95","4,172.21","","4.73%"
"03/30/1992","4,091.43","4,112.23","4,159.53","4,091.43","","7.92%"
"03/27/1992","3,791.18","3,672.99","3,800.83","3,655.12","","-0.29%"
"03/25/1992","3,802.17","3,655.00","3,807.64","3,655.00","","3.61%"
"03/24/1992","3,669.58","3,521.25","3,688.53","3,521.25","","13.14%"
"03/20/1992","3,243.53","3,135.88","3,243.53","3,135.88","","3.69%"
"03/18/1992","3,128.01","3,212.66","3,212.66","3,126.45","","-2.21%"
"03/17/1992","3,198.78","3,296.41","3,296.41","3,197.51","","-1.60%"
"03/16/1992","3,250.70","3,305.62","3,385.99","2,949.70","","-0.27%"
"03/13/1992","3,259.36","3,299.74","3,346.26","3,259.36","","0.54%"
"03/12/1992","3,241.97","3,178.14","3,306.17","3,178.14","","2.47%"
"03/11/1992","3,163.68","3,137.95","3,173.19","3,069.49","","-4.59%"
"03/10/1992","3,316.03","3,480.74","3,480.74","3,261.00","","-6.53%"
